NVDA	NVIDIA Corporation	13.12%
MSFT	Microsoft Corporation	7.76%
GOOGL	Alphabet Inc.	5.80%
GOOG	Alphabet Inc.	4.57%
TSLA	Tesla, Inc.	3.15%
AMD	Advanced Micro Devices, Inc.	2.51%
V	Visa Inc.	1.67%
INTC	Intel Corporation	1.66%
AMAT	Applied Materials, Inc.	1.47%
LRCX	Lam Research Corporation	1.40%
CAT	Caterpillar Inc.	1.37%
CSCO	Cisco Systems, Inc.	1.33%
ABBV	AbbVie Inc.	1.32%
MA	Mastercard Incorporated	1.21%
HD	The Home Depot, Inc.	1.03%
PG	The Procter & Gamble Company	1.02%
KO	The Coca-Cola Company	0.94%
MRK	Merck & Co., Inc.	0.94%
TXN	Texas Instruments Incorporated	0.77%
ORCL	Oracle Corporation	0.76%
