DHI	D.R. Horton, Inc.	15.97%
PHM	PulteGroup, Inc.	9.54%
LEN	Lennar Corporation	7.33%
NVR	NVR, Inc.	6.71%
TOL	Toll Brothers, Inc.	4.98%
BLD	TopBuild Corp.	4.60%
SHW	The Sherwin-Williams Company	4.51%
HD	The Home Depot, Inc.	4.36%
LOW	Lowe's Companies, Inc.	4.10%
LII	Lennox International Inc.	3.27%
MAS	Masco Corporation	2.96%
TMHC	Taylor Morrison Home Corporation	2.48%
MTH	Meritage Homes Corporation	2.10%
OC	Owens Corning	2.00%
IBP	Installed Building Products, Inc.	1.94%
SKY	Champion Homes, Inc.	1.82%
CVCO	Cavco Industries, Inc.	1.77%
BLDR	Builders FirstSource, Inc.	1.76%
SSD	Simpson Manufacturing Co., Inc.	1.58%
MHO	M/I Homes, Inc.	1.54%
