AMZN	Amazon.com, Inc.	5.97%
AAPL	Apple Inc.	5.22%
MSFT	Microsoft Corporation	3.83%
BRK.B	Berkshire Hathaway Inc.	2.58%
JPM	JPMorgan Chase & Co.	2.46%
JNJ	Johnson & Johnson	1.74%
INTC	Intel Corporation	1.62%
XOM	Exxon Mobil Corporation	1.58%
CSCO	Cisco Systems, Inc.	1.30%
WMT	Walmart Inc.	1.29%
ABBV	AbbVie Inc.	1.16%
UNH	UnitedHealth Group Incorporated	1.06%
BAC	Bank of America Corporation	1.00%
PG	The Procter & Gamble Company	0.97%
MRK	Merck & Co., Inc.	0.90%
CVX	Chevron Corporation	0.87%
GS	The Goldman Sachs Group, Inc.	0.82%
PM	Philip Morris International Inc.	0.80%
KO	The Coca-Cola Company	0.80%
IBM	International Business Machines Corporation	0.73%
