ABBV	AbbVie Inc.	1.74%
JNJ	Johnson & Johnson	1.69%
HWM	Howmet Aerospace Inc.	1.68%
TT	Trane Technologies plc	1.57%
ETN	Eaton Corporation plc	1.56%
NEE	NextEra Energy, Inc.	1.50%
GOOGL	Alphabet Inc.	1.49%
ROST	Ross Stores, Inc.	1.48%
LRCX	Lam Research Corporation	1.48%
NVDA	NVIDIA Corporation	1.48%
AAPL	Apple Inc.	1.48%
AMZN	Amazon.com, Inc.	1.48%
VRTX	Vertex Pharmaceuticals Incorporated	1.47%
EOG	EOG Resources, Inc.	1.47%
MMM	3M Company	1.42%
V	Visa Inc.	1.40%
RTX	RTX Corporation	1.40%
AXP	American Express Company	1.40%
YUM	Yum! Brands, Inc.	1.37%
PM	Philip Morris International Inc.	1.36%
