PWR	Quanta Services, Inc.	4.06%
CSX	CSX Corporation	3.51%
ETN	Eaton Corporation plc	3.37%
TT	Trane Technologies plc	3.33%
HWM	Howmet Aerospace Inc.	3.26%
DE	Deere & Company	3.21%
URI	United Rentals, Inc.	3.13%
UNP	Union Pacific Corporation	3.11%
ROK	Rockwell Automation, Inc.	3.08%
NSC	Norfolk Southern Corporation	2.88%
SRE	Sempra	2.86%
FAST	Fastenal Company	2.83%
PH	Parker-Hannifin Corporation	2.75%
NUE	Nucor Corporation	2.65%
EMR	Emerson Electric Co.	2.52%
CRH	CRH plc	2.27%
VMC	Vulcan Materials Company	2.03%
EME	EMCOR Group, Inc.	1.93%
MLM	Martin Marietta Materials, Inc.	1.81%
STLD	Steel Dynamics, Inc.	1.74%
