NVDA	NVIDIA Corporation	7.52%
AAPL	Apple Inc.	6.59%
MU	Micron Technology, Inc.	5.68%
MSFT	Microsoft Corporation	4.36%
AMZN	Amazon.com, Inc.	4.12%
AMD	Advanced Micro Devices, Inc.	3.87%
GOOGL	Alphabet Inc.	3.28%
TSLA	Tesla, Inc.	3.28%
GOOG	Alphabet Inc.	3.05%
INTC	Intel Corporation	2.91%
AVGO	Broadcom Inc.	2.81%
META	Meta Platforms, Inc.	2.65%
WMT	Walmart Inc.	2.46%
AMAT	Applied Materials, Inc.	2.43%
LRCX	Lam Research Corporation	2.26%
CSCO	Cisco Systems, Inc.	2.04%
COST	Costco Wholesale Corporation	1.85%
KLAC	KLA Corporation	1.60%
NFLX	Netflix, Inc.	1.37%
SNDK	Sandisk Corporation	1.34%
