MU	Micron Technology, Inc.	8.54%
AMD	Advanced Micro Devices, Inc.	8.09%
NVDA	NVIDIA Corporation	6.81%
INTC	Intel Corporation	6.33%
AVGO	Broadcom Inc.	6.08%
AMAT	Applied Materials, Inc.	5.77%
KLAC	KLA Corporation	5.64%
LRCX	Lam Research Corporation	4.89%
MRVL	Marvell Technology, Inc.	4.88%
TSM	Taiwan Semiconductor Manufacturing Company Limited	4.26%
TXN	Texas Instruments Incorporated	3.50%
ADI	Analog Devices, Inc.	3.45%
TER	Teradyne, Inc.	3.36%
NXPI	NXP Semiconductors N.V.	3.14%
ALAB	Astera Labs, Inc.	3.02%
MPWR	Monolithic Power Systems, Inc.	2.93%
QCOM	QUALCOMM Incorporated	2.65%
ASML	ASML Holding N.V.	2.30%
MCHP	Microchip Technology Incorporated	2.17%
CRDO	Credo Technology Group Holding Ltd	2.01%
