NVDA	NVIDIA Corporation	7.38%
AAPL	Apple Inc.	6.47%
MSFT	Microsoft Corporation	4.28%
AMZN	Amazon.com, Inc.	3.68%
GOOGL	Alphabet Inc.	3.24%
AVGO	Broadcom Inc.	2.76%
GOOG	Alphabet Inc.	2.60%
MU	Micron Technology, Inc.	2.02%
META	Meta Platforms, Inc.	1.93%
TSLA	Tesla, Inc.	1.81%
LLY	Eli Lilly and Company	1.52%
BRK.B	Berkshire Hathaway Inc.	1.42%
JPM	JPMorgan Chase & Co.	1.38%
AMD	Advanced Micro Devices, Inc.	1.38%
JNJ	Johnson & Johnson	0.97%
INTC	Intel Corporation	0.97%
V	Visa Inc.	0.89%
XOM	Exxon Mobil Corporation	0.88%
AMAT	Applied Materials, Inc.	0.86%
LRCX	Lam Research Corporation	0.80%
