MU	Micron Technology, Inc.	25.06%
CSCO	Cisco Systems, Inc.	4.48%
GM	General Motors Company	3.30%
VZ	Verizon Communications Inc.	2.65%
T	AT&T Inc.	2.27%
BAC	Bank of America Corporation	1.96%
F	Ford Motor Company	1.94%
QCOM	QUALCOMM Incorporated	1.72%
CMCSA	Comcast Corporation	1.70%
C	Citigroup Inc.	1.65%
DIS	The Walt Disney Company	1.49%
PFE	Pfizer Inc.	1.48%
CVS	CVS Health Corporation	1.45%
HPE	Hewlett Packard Enterprise Company	1.38%
DELL	Dell Technologies Inc.	1.38%
FDX	FedEx Corporation	1.27%
WFC	Wells Fargo & Company	1.15%
BMY	Bristol-Myers Squibb Company	1.05%
UPS	United Parcel Service, Inc.	1.00%
DHI	D.R. Horton, Inc.	0.97%
