STX	Seagate Technology Holdings plc	1.90%
WDC	Western Digital Corporation	1.78%
VRT	Vertiv Holdings Co	1.17%
PWR	Quanta Services, Inc.	1.05%
HWM	Howmet Aerospace Inc.	1.02%
MRVL	Marvell Technology, Inc.	0.88%
CMI	Cummins Inc.	0.88%
CEG	Constellation Energy Corporation	0.88%
SLB	SLB N.V.	0.81%
DDOG	Datadog, Inc.	0.80%
GM	General Motors Company	0.74%
ROST	Ross Stores, Inc.	0.74%
HOOD	Robinhood Markets, Inc.	0.74%
MPC	Marathon Petroleum Corporation	0.73%
VLO	Valero Energy Corporation	0.72%
NET	Cloudflare, Inc.	0.72%
CRH	CRH plc	0.72%
MPWR	Monolithic Power Systems, Inc.	0.72%
TDG	TransDigm Group Incorporated	0.70%
PSX	Phillips 66	0.70%
