WDC	Western Digital Corporation	1.59%
CMI	Cummins Inc.	1.58%
SLB	SLB N.V.	1.44%
GM	General Motors Company	1.33%
MPC	Marathon Petroleum Corporation	1.30%
VLO	Valero Energy Corporation	1.29%
CRH	CRH plc	1.28%
PSX	Phillips 66	1.25%
F	Ford Motor Company	1.21%
DLR	Digital Realty Trust, Inc.	1.15%
WBD	Warner Bros. Discovery, Inc.	1.12%
BKR	Baker Hughes Company	1.12%
URI	United Rentals, Inc.	1.11%
TEL	TE Connectivity plc	1.11%
NEM	Newmont Corporation	1.06%
LHX	L3Harris Technologies, Inc.	1.04%
D	Dominion Energy, Inc.	1.04%
KEYS	Keysight Technologies, Inc.	1.03%
PCAR	PACCAR Inc	1.03%
TGT	Target Corporation	1.02%
