NVDA	NVIDIA Corporation	7.14%
AAPL	Apple Inc.	6.50%
MSFT	Microsoft Corporation	4.83%
AMZN	Amazon.com, Inc.	3.75%
GOOGL	Alphabet Inc.	3.20%
AVGO	Broadcom Inc.	2.98%
GOOG	Alphabet Inc.	2.57%
META	Meta Platforms, Inc.	2.00%
TSLA	Tesla, Inc.	1.78%
MU	Micron Technology, Inc.	1.57%
LLY	Eli Lilly and Company	1.28%
BRK.B	Berkshire Hathaway Inc.	1.26%
AMD	Advanced Micro Devices, Inc.	1.20%
JPM	JPMorgan Chase & Co.	1.10%
XOM	Exxon Mobil Corporation	0.89%
V	Visa Inc.	0.79%
JNJ	Johnson & Johnson	0.78%
INTC	Intel Corporation	0.73%
WMT	Walmart Inc.	0.73%
CSCO	Cisco Systems, Inc.	0.69%
