NVDA	NVIDIA Corporation	13.10%
AAPL	Apple Inc.	12.31%
MSFT	Microsoft Corporation	8.99%
GOOGL	Alphabet Inc.	5.95%
AVGO	Broadcom Inc.	5.16%
AMZN	Amazon.com, Inc.	4.85%
GOOG	Alphabet Inc.	4.68%
META	Meta Platforms, Inc.	3.73%
TSLA	Tesla, Inc.	3.31%
LLY	Eli Lilly and Company	2.53%
AMD	Advanced Micro Devices, Inc.	2.30%
V	Visa Inc.	1.45%
COST	Costco Wholesale Corporation	1.15%
LRCX	Lam Research Corporation	1.09%
MA	Mastercard Incorporated	1.07%
ORCL	Oracle Corporation	1.07%
NFLX	Netflix, Inc.	0.99%
PLTR	Palantir Technologies Inc.	0.93%
GEV	GE Vernova Inc.	0.72%
SNDK	Sandisk Corporation	0.71%
